type_generateur;zone_climatique;annee_installation/gte;annee_installation/lte;cop;tv_scop_id
cet_air_ambiant|cet_air_exterieur;H1a|H1b|H1c|H2a|H2b|H2c|H2d;;2009;2;71
cet_air_ambiant|cet_air_exterieur;H1a|H1b|H1c|H2a|H2b|H2c|H2d;2010;2014;2.2;72
cet_air_ambiant|cet_air_exterieur;H1a|H1b|H1c|H2a|H2b|H2c|H2d;2015;;2.5;73
cet_air_ambiant|cet_air_exterieur;H3;;2009;2.3;74
cet_air_ambiant|cet_air_exterieur;H3;2010;2014;2.5;75
cet_air_ambiant|cet_air_exterieur;H3;2015;;2.8;76
cet_air_extrait;H1a|H1b|H1c|H2a|H2b|H2c|H2d;;2009;2.3;77
cet_air_extrait;H1a|H1b|H1c|H2a|H2b|H2c|H2d;2010;2014;2.5;78
cet_air_extrait;H1a|H1b|H1c|H2a|H2b|H2c|H2d;2015;;2.8;79
cet_air_extrait;H3;;2009;2.3;80
cet_air_extrait;H3;2010;2014;2.5;81
cet_air_extrait;H3;2015;;2.9;82
pac_double_service;H1a|H1b|H1c|H2a|H2b|H2c|H2d;;2009;2;83
pac_double_service;H1a|H1b|H1c|H2a|H2b|H2c|H2d;2010;2014;2.1;84
pac_double_service;H1a|H1b|H1c|H2a|H2b|H2c|H2d;2015;;2.3;85
pac_double_service;H3;;2009;2.3;86
pac_double_service;H3;2010;2014;2.4;87
pac_double_service;H3;2015;;2.6;88
