type_masque;orientation_facade;secteur_orientation;hauteur_alpha_masque/gte;hauteur_alpha_masque/lt;omb;hauteur_alpha_defaut;tv_coef_masque_lointain_non_homogene_id
non_homogene;nord;lateral;;15;0;7.5;1
non_homogene;nord;lateral;15;30;4;22.5;2
non_homogene;nord;lateral;30;60;13;45;3
non_homogene;nord;lateral;60;;15;60;4
non_homogene;nord;central;;15;0;7.5;5
non_homogene;nord;central;15;30;14;22.5;6
non_homogene;nord;central;30;60;35;45;7
non_homogene;nord;central;60;;40;60;8
non_homogene;sud;lateral;;15;0;7.5;1
non_homogene;sud;lateral;15;30;4;22.5;2
non_homogene;sud;lateral;30;60;13;45;3
non_homogene;sud;lateral;60;;15;60;4
non_homogene;sud;central;;15;0;7.5;5
non_homogene;sud;central;15;30;14;22.5;6
non_homogene;sud;central;30;60;35;45;7
non_homogene;sud;central;60;;40;60;8
non_homogene;est;lateral;;15;0;7.5;17
non_homogene;est;lateral;15;30;5;22.5;18
non_homogene;est;lateral;30;60;17;45;19
non_homogene;est;lateral;60;;25;60;20
non_homogene;est;central;;15;0;7.5;17
non_homogene;est;central;15;30;5;22.5;18
non_homogene;est;central;30;60;17;45;19
non_homogene;est;central;60;;25;60;20
non_homogene;est;central_sud;;15;0;7.5;13
non_homogene;est;central_sud;15;30;17;22.5;14
non_homogene;est;central_sud;30;60;40;45;15
non_homogene;est;central_sud;60;;45;60;16
non_homogene;est;lateral_sud;;15;0;7.5;9
non_homogene;est;lateral_sud;15;30;14;22.5;10
non_homogene;est;lateral_sud;30;60;27;45;11
non_homogene;est;lateral_sud;60;;30;60;12
non_homogene;ouest;lateral;;15;0;7.5;9
non_homogene;ouest;lateral;15;30;14;22.5;10
non_homogene;ouest;lateral;30;60;27;45;11
non_homogene;ouest;lateral;60;;30;60;12
non_homogene;ouest;central;;15;0;7.5;13
non_homogene;ouest;central;15;30;17;22.5;14
non_homogene;ouest;central;30;60;40;45;15
non_homogene;ouest;central;60;;45;60;16
non_homogene;ouest;central_sud;;15;0;7.5;17
non_homogene;ouest;central_sud;15;30;5;22.5;18
non_homogene;ouest;central_sud;30;60;17;45;19
non_homogene;ouest;central_sud;60;;25;60;20
non_homogene;ouest;lateral_sud;;15;0;7.5;17
non_homogene;ouest;lateral_sud;15;30;5;22.5;18
non_homogene;ouest;lateral_sud;30;60;17;45;19
non_homogene;ouest;lateral_sud;60;;25;60;20
non_homogene;horizontale;;;;0;;
